1,1,70,7,,1545,1071,807,,,
1,0,700,16,,10135,6086,2721,,,
0,3,20,2,,354,72,,,,
1,2,500,14,,9024,6972,5578,,,
2,0,30,3,,694,349,124,,,
0,2,1000,19,,17818,14280,10962,,,
2,1,40,4,,932,542,349,,,
1,1,60,6,,1258,879,655,,,
2,1,400,13,,7060,5951,5358,,,
2,2,300,12,,5303,4457,3958,,,
0,0,90,9,,1941,1391,1095,,,
1,0,80,8,,1600,1252,890,,,
1,0,600,15,,10512,8724,7029,,,
0,2,10,1,,9,,,,,
1,3,800,17,,14763,11711,10561,,,
1,2,5,0,,,,,,,
0,0,200,11,,3564,2782,2351,,,
1,1,900,18,,15375,11916,8471,,,
2,1,100,10,,2097,1557,1198,,,
1,3,50,5,,1118,759,484,,,
