2,0,600,15,,8864,5445,2544
2,2,60,6,,1349,941,667
0,2,5,0,,,,
2,3,300,12,,5382,4197,3660
0,0,10,1,,22,,
0,3,200,11,,3564,2797,2203
2,0,500,14,,9387,7230,6603
1,1,50,5,,1167,786,495
1,0,90,9,,1799,1324,1057
2,3,900,18,,15524,13254,11964
1,3,700,16,,12264,10018,8096
1,1,800,17,,12970,11611,10842
1,1,20,2,,364,74,
2,3,30,3,,707,379,149
1,0,100,10,,1924,1450,1132
0,0,70,7,,1492,1022,756
2,1,1000,19,,17847,14205,11249
2,2,80,8,,1658,1238,908
0,1,40,4,,899,544,269
2,3,400,13,,7109,5498,4601
